word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
soon|.|RB|1.17|4.3602|2.6523|8.9093|8.9093
after||IN|0.0|3.1255|4.5583|1.6243|1.6243
tipper||NN|0.0|1.4831|6.0903|-1.209|-1.209
and||CC|0.0|0.3602|1.7926|8.8455|8.8455
i||NN|0.0|-1.2384|0.7493|9.1719|9.1719
left||VBD|0.0|-1.3641|1.8474|2.3195|2.3195
the||DT|0.0|-1.9854|2.9748|2.8195|2.8195
white||JJ|0.99|-10.7386|4.6174|3.7304|3.7304
house||NN|0.0|-9.6764|2.2516|-2.8337|-2.8337
we||PRP|2.0|5.078|4.1224|8.3798|8.3798
were||VBD|0.0|4.2983|2.9483|8.6531|8.6531
driving||VBG|0.0|3.6155|5.6274|6.4511|6.4511
from||IN|0.0|0.1496|1.295|4.6277|4.6277
our||PRP$|0.0|-1.8581|1.9616|8.4633|8.4633
home||NN|0.0|0.8983|4.8006|6.4248|6.4248
in||IN|0.0|-1.7506|3.3647|4.9967|4.9967
nashville||NN|0.0|-2.5947|3.5716|3.5558|3.5558
to||TO|0.0|-3.6892|4.6766|-0.5837|-0.5837
a||DT|0.0|-3.6201|3.6084|1.2568|1.2568
little||JJ|0.0|-3.6085|4.6999|4.6901|4.6901
farm||NN|0.0|-3.4915|5.4126|1.3571|1.3571
we||PRP|0.0|-4.7981|0.7298|6.1787|6.1787
have||VBP|0.0|-4.4798|2.0872|6.1517|6.1517
fifty||JJ|0.0|-4.9639|4.9878|0.0766|0.0766
miles||NNS|0.0|-6.8878|4.6366|3.6118|3.6118
east||RB|0.0|-8.3652|3.9972|-1.471|-1.471
of||IN|0.0|-12.0245|3.0477|-5.5665|-5.5665
nashville||JJ|0.0|-18.8218|6.6195|-3.0071|-3.0071
driving||VBG|0.0|0.0|0.0|0.0|0.0
ourselves||PRP|0.0|-4.3354|7.5752|-0.132|-0.132
<END>|.|NA|0.0|0.0|0.0|0.0|0.0
