word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
i|!|NN|6.92|10.3985|3.3117|5.7556|5.7556
flew||VBD|0.0|12.1972|2.6614|2.7503|2.7503
on||IN|0.0|10.4179|2.9842|8.2087|8.2087
air||NN|0.0|7.5229|3.0168|7.4942|7.4942
force||NN|0.0|4.1462|5.0619|1.8073|1.8073
two||CD|0.0|2.5829|5.5401|3.2892|3.2892
for||IN|0.0|-0.246|2.2946|0.7105|0.7105
eight||CD|0.0|-2.4434|5.1047|2.9984|2.9984
years||NNS|0.0|-6.4679|2.0596|5.9654|5.9654
now|.|RB|2.18|0.0|0.0|8.9005|8.9005
i||RB|0.0|0.0|0.0|9.6972|9.6972
have||VBP|0.0|16.4468|0.4167|4.5121|4.5121
to||TO|0.0|15.1627|4.2907|-0.0388|-0.0388
take||VB|0.0|14.0669|5.3583|-0.6741|-0.6741
off||RP|0.0|14.155|5.7487|6.3195|6.3195
my||PRP$|0.0|12.7876|3.44|7.0078|7.0078
shoes||NNS|0.0|3.6892|15.4091|3.4832|3.4832
or||CC|0.0|-3.5266|0.9436|2.7278|2.7278
boots||NNS|0.0|-9.4139|7.9636|3.0629|3.0629
to||TO|0.0|-8.435|1.6935|3.8074|3.8074
get||VB|0.0|-8.4712|3.6941|5.4453|5.4453
on||IN|0.0|-7.6474|0.4991|8.8504|8.8504
an||DT|0.0|-7.6675|0.5628|7.7734|7.7734
airplane||NN|0.0|-6.1825|5.7533|3.3197|3.3197
i'll|!|NN|9.56|0.8857|1.2643|4.5739|4.5739
tell||NN|0.0|2.2466|3.8459|3.9446|3.9446
you||PRP|0.0|1.086|0.9945|8.2661|8.2661
one||CD|0.0|2.4558|2.9038|8.2934|8.2934
quick||JJ|0.0|5.7731|8.6105|-1.053|-1.053
story||NN|0.0|4.2368|7.9798|4.2963|4.2963
to||TO|0.0|-0.2969|0.2672|6.916|6.916
illustrate||VB|0.0|-1.3836|6.376|1.6542|1.6542
what||WP|0.83|3.6971|6.982|3.3435|3.3435
that's||VB|0.0|3.8781|3.4401|-0.2499|-0.2499
been||VBN|0.0|2.0702|3.1887|3.5498|3.5498
like||IN|0.0|-2.1105|4.0043|5.393|5.393
for||IN|0.0|-4.728|1.272|-0.9575|-0.9575
me||PRP|0.0|-7.2498|3.6842|5.946|5.946
it's|.|VB|0.0|0.0|0.0|0.0|0.0
a||DT|0.0|0.0|0.0|0.0|0.0
true||JJ|0.0|2.1185|10.5608|4.3351|4.3351
story||NN|0.0|5.8295|6.7|4.741|4.741
every||DT|0.0|1.7788|7.3486|2.2602|2.2602
bit||NN|0.0|-6.2587|6.4942|2.0019|2.0019
of||IN|0.0|-9.0125|3.7767|8.117|8.117
this||DT|0.0|-13.8076|4.221|1.1293|1.1293
is||VBZ|0.0|-17.3934|2.5806|-0.4021|-0.4021
true||JJ|0.0|-17.4861|1.4983|-1.8526|-1.8526
<END>|.|NA|0.0|0.0|0.0|0.0|0.0
