word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
i|.|NNS|0.38|-4.9016|8.0261|6.5875|6.5875
have||VBP|0.0|-2.3224|4.3315|2.2944|2.2944
been||VBN|0.0|-3.6534|2.3624|4.2611|4.2611
blown||VBN|0.0|-4.6856|7.0329|4.7219|4.7219
away||RB|0.0|-4.1091|4.1798|5.7616|5.7616
by||IN|0.0|-6.4438|1.8371|3.1923|3.1923
this||DT|0.0|-6.2043|3.8995|-4.1627|-4.1627
conference||NN|0.33|-5.9102|2.5381|-5.0083|-5.0083
and|,|CC|0.33|-7.768|1.1674|4.3697|4.3697
i||NN|0.0|-7.6984|0.4773|6.3232|6.3232
want||VBP|0.0|-5.6858|2.5277|4.002|4.002
to||TO|0.0|-5.7607|1.4736|1.8434|1.8434
thank||VB|0.0|-4.5209|3.979|-3.2695|-3.2695
all||DT|0.33|-3.2017|3.7785|6.0891|6.0891
of||IN|0.0|-5.2326|3.5385|-0.3202|-0.3202
you||PRP|0.0|-6.0665|2.3263|1.7277|1.7277
for||IN|0.0|-6.7568|2.1871|-2.4854|-2.4854
the||DT|0.0|-4.7446|5.5031|-3.6233|-3.6233
many||JJ|0.0|-2.8032|4.6312|6.6107|6.6107
nice||JJ|0.0|-5.6672|1.3976|1.8322|1.8322
comments||NNS|0.0|-8.6596|4.5536|5.1784|5.1784
about||IN|1.8|-9.7567|3.1504|0.8141|0.8141
what||WP|0.0|-7.174|1.7853|-1.3522|-1.3522
i||NN|0.0|-5.694|0.4345|5.1418|5.1418
had||VBD|0.0|-6.0823|1.7775|5.3034|5.3034
to||TO|0.0|-8.5508|1.1876|-1.0647|-1.0647
say||VB|0.0|-8.7589|1.39|-0.9926|-0.9926
the||DT|0.0|-9.9691|2.8985|2.286|2.286
other||JJ|0.44|-9.4094|0.6915|4.1375|4.1375
night||NN|0.0|-11.7276|3.2818|0.0197|0.0197
and|.|CC|0.0|-5.5578|1.6779|-0.1865|-0.1865
i||NNS|0.0|-6.2102|0.7403|6.2514|6.2514
say||VBP|0.0|-3.4|5.8676|-1.6431|-1.6431
that||IN|0.0|-3.0653|3.0747|4.3803|4.3803
sincerely||RB|0.0|-5.4956|3.4739|2.3909|2.3909
partly|,|RB|1.23|1.1456|3.4601|7.9501|7.9501
because||IN|0.0|-2.9275|6.3072|3.2117|3.2117
i||NNS|0.95|1.1464|0.176|3.695|3.695
need||VBP|0.0|-0.4238|3.7845|3.5034|3.5034
that||IN|0.0|-1.1454|2.0111|-0.6395|-0.6395
put|!|NN|6.37|5.5103|2.4458|0.3856|0.3856
yourselves||NNS|0.0|1.8848|8.9678|2.2903|2.2903
in||IN|0.0|-0.8556|1.2364|8.4164|8.4164
my||PRP$|0.0|-3.7416|3.6971|8.3247|8.3247
position||NN|0.0|-7.2835|7.3876|0.138|0.138
<END>|!|NA|0.0|0.0|0.0|0.0|0.0
