word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
low|.|JJ|1.08|0.0|0.0|0.0|0.0
cost||NN|0.0|0.0|0.0|0.0|0.0
family||NN|0.0|-9.4914|2.6732|1.8537|1.8537
restaurant||NN|0.0|-11.6137|0.5107|-8.3434|-8.3434
chain||NN|0.38|-11.1022|0.2977|-0.6004|-0.6004
for|,|IN|0.0|-10.1979|1.9425|-1.4151|-1.4151
those||DT|0.0|-10.1092|7.9316|1.2912|1.2912
of||IN|0.0|-17.6459|0.9487|6.0256|6.0256
you||PRP|0.0|-17.6104|0.6804|2.3348|2.3348
who||WP|0.0|5.4409|5.7906|3.4444|3.4444
don't||VBP|0.0|3.4407|1.8671|2.4926|2.4926
know||VB|0.0|2.4326|1.1072|8.4012|8.4012
it||PRP|0.0|0.9742|1.2956|5.5154|5.5154
we|.|PRP|1.2|0.0811|5.0753|1.7345|1.7345
went||VBD|0.0|-2.3463|2.3257|6.8597|6.8597
in||IN|0.0|-2.7154|3.502|1.2847|1.2847
and||CC|0.0|-2.5499|4.99|1.3361|1.3361
sat||VBD|0.0|-4.6777|3.8419|1.4483|1.4483
down||RB|0.0|-3.3929|1.4763|5.2736|5.2736
at||IN|0.0|-3.1275|0.774|4.9448|4.9448
the||DT|0.0|1.8231|5.0171|2.3056|2.3056
booth||NN|0.0|1.6504|3.8808|4.3559|4.3559
and|,|CC|0.0|-1.2186|3.8774|5.4778|5.4778
the||DT|0.0|-2.2347|1.4395|7.1856|7.1856
waitress||NN|0.63|-3.3432|1.2104|4.1918|4.1918
came||VBD|0.0|-2.4829|3.7801|-2.0962|-2.0962
over||RB|0.0|-0.1797|11.8731|4.1536|4.1536
made|,|VBN|0.0|-8.3346|6.3247|1.7016|1.7016
a||DT|0.0|-17.2943|7.4554|-3.9794|-3.9794
big||JJ|0.0|1.442|1.5996|5.4938|5.4938
commotion||NN|0.0|5.6569|8.1218|0.6971|0.6971
over||IN|0.0|6.7655|5.4677|8.9327|8.9327
tipper||NN|0.0|1.7049|3.4899|8.3794|8.3794
<END>|.|NA|0.0|0.0|0.0|0.0|0.0
