word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
she|.|PRP|2.69|-0.9849|3.1662|3.7716|3.7716
took||VBD|0.0|3.0473|7.6867|5.8823|5.8823
our||PRP$|0.0|3.5607|1.8682|6.143|6.143
order||NN|0.0|1.8323|3.3543|4.2633|4.2633
and|,|CC|0.0|-0.9955|1.9404|7.0487|7.0487
then||RB|0.0|0.2419|3.4564|2.5891|2.5891
went||VBD|0.0|-1.6576|1.6006|7.2443|7.2443
to||TO|0.0|-2.6406|2.1013|6.8582|6.8582
the||DT|0.0|-3.5225|5.722|3.4019|3.4019
couple||NN|0.0|-3.1279|4.0728|1.8377|1.8377
in||IN|0.0|-5.4741|4.6176|4.7244|4.7244
the||DT|0.0|-6.7471|2.5286|2.6596|2.6596
booth||NN|0.0|-6.0253|1.5753|3.3284|3.3284
next||IN|0.0|-4.9305|3.1285|0.64|0.64
to||TO|0.0|-3.3744|4.7821|5.5215|5.5215
us||PRP|0.0|-6.685|5.257|1.687|1.687
and|,|CC|0.0|-6.3929|6.3465|-2.1614|-2.1614
she||PRP|0.0|-6.7936|1.0504|-0.7217|-0.7217
lowered||VBD|0.54|-7.9402|2.0454|1.2113|1.2113
her||PRP|0.0|0.0|0.0|0.0|0.0
voice||NN|0.0|-9.7941|0.2093|3.9208|3.9208
so||RB|0.0|-8.569|1.43|1.5105|1.5105
much||JJ|0.0|-6.1458|4.1069|2.159|2.159
i||NN|0.0|-7.3555|4.8149|-1.7255|-1.7255
had||VBD|0.0|-10.0891|0.4632|1.2693|1.2693
to||TO|0.0|-9.2671|1.9482|1.7201|1.7201
really||RB|0.0|-10.7114|1.41|-0.2331|-0.2331
strain||VB|0.0|-5.743|1.6477|0.4656|0.4656
to||TO|0.0|0.0|0.0|0.0|0.0
hear||VB|0.0|0.0|0.0|0.0|0.0
what||WP|0.0|0.0|0.0|0.0|0.0
she||PRP|1.79|0.0|0.0|0.0|0.0
was||VBD|0.0|-2.4876|1.9411|-6.2264|-6.2264
saying||VBG|0.0|-0.7533|2.7886|-2.0749|-2.0749
she|.|PRP|0.0|-2.1088|1.9042|-4.9687|-4.9687
said||VBD|0.0|-2.4855|2.5782|-6.7458|-6.7458
yes||RB|0.0|-2.5264|1.0986|-5.5712|-5.5712
that's|,|JJ|0.0|-3.3854|2.3648|-6.6129|-6.6129
former||JJ|0.0|-4.2596|2.9059|-3.5922|-3.5922
vice||NN|0.0|-2.8809|4.2433|-8.7615|-8.7615
president||NN|0.0|0.0|0.0|-9.7002|-9.7002
al||IN|0.0|-6.6707|0.982|-9.3853|-9.3853
gore||NN|0.0|-5.5458|1.0636|-14.2377|-14.2377
and||CC|0.0|0.0|0.0|-12.4201|-12.4201
his||PRP$|0.0|-5.6589|0.5578|6.682|6.682
wife||NN|0.0|-5.8689|1.2931|6.7005|6.7005
tipper||NN|0.0|-3.0109|4.6113|6.8264|6.8264
<END>|.|NA|0.0|0.0|0.0|0.0|0.0
