word|punctuation_before|pos|pause_before|f0_mean|f0_range|i0_mean|i0_range
and|.|CC|0.84|-4.3478|8.9349|2.1722|2.1722
the||DT|0.0|-11.2724|2.5032|-1.954|-1.954
man||NN|0.0|-9.7777|2.6534|-1.6015|-1.6015
said||VBD|0.0|-9.8459|2.2507|3.6842|3.6842
he's|,|JJ|0.8|-11.1185|1.0186|3.279|3.279
come||VBP|0.0|-10.1109|1.3458|3.5031|3.5031
down||RP|0.0|-10.4049|4.7462|1.9813|1.9813
a||DT|0.0|-12.2185|1.7735|2.3456|2.3456
long||JJ|0.0|0.0|0.0|0.0|0.0
way||NN|0.0|4.4699|1.784|4.3273|4.3273
hasn't|,|NN|0.0|6.1886|3.939|5.3016|5.3016
he||PRP|0.0|5.3797|3.1072|6.6246|6.6246
there's|?|RB|0.0|4.025|2.0032|5.3956|5.3956
been||VBN|0.0|2.0899|3.025|5.6247|5.6247
kind||NN|0.0|-0.2557|8.4528|3.0038|3.0038
of||IN|0.0|-4.2628|3.2098|4.7076|4.7076
a||DT|0.0|-5.0534|8.7752|0.5488|0.5488
series||NN|0.0|13.0517|3.3207|6.5518|6.5518
of||IN|0.0|11.4148|7.6447|5.1478|5.1478
epiphanies||NNS|0.0|13.0141|7.0233|1.7737|1.7737
<END>|.|NA|0.0|0.0|0.0|0.0|0.0
